Title,Date,Platforms,Developers
Bayonetta,"February 16, 2018",Nintendo Switch,PlatinumGames
Bayonetta 2,"February 16, 2018",Nintendo Switch,PlatinumGames
The Legend of Zelda: Link's Awakening,"September 20, 2019",Nintendo Switch,Grezzo
Luigi's Mansion 3,"October 31, 2019",Nintendo Switch,Next Level Games
Super Smash Bros. Ultimate,"December 7, 2018",Nintendo Switch,"Sora Ltd.
Bandai Namco Studios"
Super Mario Party,"October 5, 2018",Nintendo Switch,NDcube
Super Mario Odyssey,"October 27, 2017",Nintendo Switch,Nintendo EPD
The Legend of Zelda: Breath of the Wild,"March 3, 2017",Nintendo Switch,Nintendo EPD
Splatoon 2,"July 21, 2017",Nintendo Switch,Nintendo EPD
Octopath Traveler[B],"July 13, 2018",Nintendo Switch,"Square Enix
Acquire"
Paper Mario: The Origami King,"July 17, 2020",Nintendo Switch,Intelligent Systems
